epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8693,0.97458,3.02849,1.18776,0.01281,0.60804,0.13968,0.08624,1.36085,3.68297,1.4371,0.000973684,0.000973684,0.0685175
2,41.7891,1.04884,2.08843,1.19658,0.137,0.36765,0.13244,0.0677,1.42792,11.7395,1.52364,0.0019732,0.0019732,0.0361837
3,51.6883,1.0649,1.83491,1.20159,0.30212,0.14742,0.05899,0.02701,2.16743,11.877,1.9694,0.00297078,0.00297078,0.00384797
4,61.5672,1.02959,1.59533,1.18757,0.43759,0.34059,0.29271,0.20115,1.33667,11.682,1.36741,0.00299341,0.00299341,0.00299341
5,71.0651,1.02216,1.52657,1.17443,0.48478,0.28133,0.27376,0.17754,1.58507,3.58988,1.61124,0.00298829,0.00298829,0.00298829
6,80.636,0.96423,1.40687,1.13002,0.3535,0.31904,0.29011,0.19784,1.2381,3.19663,1.22304,0.00298172,0.00298172,0.00298172
7,90.2051,0.95898,1.33654,1.12886,0.40331,0.28565,0.30836,0.20608,1.19109,2.17211,1.23995,0.0029737,0.0029737,0.0029737
8,99.4842,0.91606,1.27678,1.1035,0.63685,0.45809,0.46532,0.37214,0.92094,1.85016,1.07592,0.00296424,0.00296424,0.00296424
9,108.859,0.94321,1.29463,1.12439,0.52467,0.62231,0.58646,0.45747,0.85378,1.6609,1.03134,0.00295335,0.00295335,0.00295335
10,118.176,0.89629,1.20112,1.1086,0.66535,0.56772,0.62312,0.48663,0.84061,1.37717,1.0092,0.00294104,0.00294104,0.00294104
11,127.389,0.88692,1.18836,1.09026,0.67733,0.66932,0.69795,0.56144,0.76275,1.27165,0.97766,0.00292732,0.00292732,0.00292732
12,136.844,0.90581,1.1593,1.0946,0.78387,0.55123,0.61115,0.48192,0.90599,1.35218,1.0221,0.00291221,0.00291221,0.00291221
13,146.071,0.86882,1.09402,1.06652,0.6588,0.58006,0.64423,0.51062,0.92594,1.25303,1.03201,0.00289572,0.00289572,0.00289572
14,155.466,0.84748,1.07155,1.06265,0.71991,0.59737,0.65893,0.53578,0.76983,1.21491,0.96259,0.00287787,0.00287787,0.00287787
15,164.945,0.83357,1.10966,1.06078,0.79557,0.64746,0.71975,0.57132,0.88023,1.15089,1.0187,0.00285867,0.00285867,0.00285867
16,174.343,0.8538,1.05344,1.06749,0.76417,0.60132,0.70294,0.55249,0.86126,1.36241,0.98943,0.00283814,0.00283814,0.00283814
17,183.558,0.85266,1.0136,1.05475,0.72989,0.60832,0.68458,0.53463,0.83734,1.11735,0.99535,0.00281632,0.00281632,0.00281632
18,193.184,0.81477,0.96126,1.04609,0.7434,0.66717,0.70698,0.54657,0.93984,1.02687,1.04199,0.0027932,0.0027932,0.0027932
19,202.594,0.85667,1.00087,1.07047,0.77896,0.6957,0.7159,0.56931,0.84667,0.99562,0.99596,0.00276883,0.00276883,0.00276883
20,212.312,0.78899,0.90082,1.02895,0.83329,0.67909,0.74077,0.59443,0.78486,0.92451,0.97896,0.00274321,0.00274321,0.00274321
21,221.707,0.80573,0.90808,1.04292,0.79586,0.69906,0.75435,0.6113,0.73782,0.90192,0.95838,0.00271639,0.00271639,0.00271639
22,230.899,0.80949,0.9315,1.03585,0.83661,0.67745,0.74078,0.59007,0.80519,0.94638,0.97719,0.00268838,0.00268838,0.00268838
23,240.284,0.76074,0.88555,1.01471,0.79652,0.71509,0.74291,0.5777,0.92747,0.91935,1.01959,0.00265921,0.00265921,0.00265921
24,249.701,0.7894,0.85821,1.02929,0.79752,0.6341,0.74011,0.59225,0.84401,1.00805,0.98243,0.00262891,0.00262891,0.00262891
25,259.271,0.757,0.8292,1.02532,0.73281,0.70632,0.74645,0.5857,0.85782,0.95484,0.98945,0.00259752,0.00259752,0.00259752
26,268.574,0.76872,0.83984,1.02255,0.82931,0.65964,0.72835,0.5702,0.82714,0.96258,0.97731,0.00256505,0.00256505,0.00256505
27,277.984,0.76048,0.82053,1.01777,0.81999,0.75614,0.78819,0.62907,0.80982,0.88739,0.96708,0.00253155,0.00253155,0.00253155
28,287.045,0.77722,0.81045,1.01823,0.85062,0.70151,0.80055,0.64933,0.7608,0.8084,0.93967,0.00249705,0.00249705,0.00249705
